9571991,19980401,article,mesh,"Animals,Biotransformation,Carcinogens,Cell Death,Cell Separation,Cells, Cultured,Chloroform,Cytochrome P-450 Enzyme Inhibitors,Dithiothreitol,Glutathione,Imidazoles,Liver,Male,Mice,Oxidative Stress,Rats,Rats, Inbred F344,Solvents,Sulfhydryl Reagents","analysis,drug effects,pathology,pharmacology,toxicity","D008099 Q000187 NY,D008099 Q000473 NN,D007093 Q000494 NN,D002273 Q000633 NY,D016923 Q000187 NN,D002725 Q000633 NY,D012997 Q000633 NN,D005978 Q000032 NN","6212,19001,81595,124886,439196,446094",NULL,Chloroform-induced cytolethality in freshly isolated male B6C3F1 mouse and F-344 rat hepatocytes.,Chloroform is carcinogenic in rodents but is not mutagenic or DNA reactive. Chloroform-induced hepatocarcinogenesis in rodents is believed to be secondary to events associated with cytotoxicity and cell proliferation. Understanding the mechanisms of chloroform toxicity may provide insights into the mechanisms of carcinogenicity. The goal of these studies was to characterize the cytotoxicity of chloroform in male B6C3F1 mouse and F-344 rat hepatocytes in vitro. We used an in vitro suspension-culture system t,Toxicology and applied pharmacology,"P Ammann, C L Laethem, G L Kedderis"," Chemical Industry Institute of Toxicology, Research Triangle Park, North Carolina 27709-2137, USA.",1998 Apr;149(2):217-25,10.1006/taap.1997.8351
29682182,20180330,article,NULL,NULL,NULL,NULL,NULL,NULL,Anti-cancerous effect of cis-khellactone from Angelica amurensis through the induction of three programmed cell deaths.,"Angelica amurensis has traditionally been used to treat various medical problems. In this report, we introduce cis-khellactone as a new anti-cancer agent, which was isolated from the chloroform soluble fraction of the rhizomes of Angelica amurensis. Its anti-cancerous effect was at first tested in MCF7 and MDA-MB-231 breast cell lines, in which MCF7 is well known to be resistant to many anti-cancer drugs; MCF10A normal breast cell line was used as a control. In vitro experiments showed that cis-khellactone ",Oncotarget,"Samil Jung, Hyung-In Moon, Beom Suk Lee, Subeen Kim, Nguyen Thi Ngoc Quynh, Jimin Yu, Dan-Diem Thi Le, Zolzaya Sandag, Hyegyeong Lee, Hyojeong Lee, Nguyen Hai Anh, Young Yang, Jong-Seok Lim, Keun-Il Kim, Myeong-Sok Lee"," Department of Biological Science, Sookmyung Women's University, Seoul, 14310, South Korea. Department of Medicinal Biotechnology, College of Health Sciences, Dong-A University, Busan, 49315, South Korea. Department of Biological Science, Sookmyung Women's University, Seoul, 14310, South Korea. Department of Biological Science, Sookmyung Women's University, Seoul, 14310, South Korea. Department of Biological Science, Sookmyung Women's University, Seoul, 14310, South Korea. Department of Medicinal Biotechnol",2018 Mar;9(24):16744-16757,10.18632/oncotarget.24686
29702477,20180601,article,mesh,"Antioxidants,Citrullus colocynthis,Free Radical Scavengers,Glutathione,Lipid Peroxidation,Oxidative Stress,Phenols,Plant Extracts,Reactive Oxygen Species,Tephrosia","chemistry,drug effects,isolation &amp; purification,metabolism,pharmacology","D010936 Q000737 NN,D016166 Q000302 NN,D000975 Q000378 NN,D017382 Q000378 NN,D065986 Q000737 NY,D010636 Q000302 NN,D000975 Q000494 NN,D000975 Q000302 NN,D015227 Q000187 NN,D018384 Q000187 NY,D010936 Q000494 NY,D016166 Q000494 NN,D005978 Q000378 NN,D031304 Q000737 NY",124886,NULL,In vitro oxidative stress regulatory potential of Citrullus colocynthis and Tephrosia apollinea.,"The present study investigates the potential role of medicinal plants Citrullus colocynthis and Tephrosia apollinea in ameliorating the oxidative stress developed during the generation of reactive oxygen species. Organic extracts of different organs (leaf, stem and root) of these medicinal plants obtained in n-hexane, chloroform, n-butanol and water were assayed for radical scavenging, total antioxidant capacity, anti-lipid peroxidation and reduced glutathione. The total phenolic content (TPC) of both selec","Acta pharmaceutica (Zagreb, Croatia)","Tania Shamim Rizvi, Abdul Latif Khan, Liaqat Ali, Narjis Al-Mawali, Fazal Mabood, Javid Hussain, Muhammad Adnan, Ahmed Al-Harrasi"," UoN Chair of Oman's Medicinal Plants and Marine Natural Products, University of Nizwa, Birkat Al-Mouz,Nizwa-616, Oman. UoN Chair of Oman's Medicinal Plants and Marine Natural Products, University of Nizwa, Birkat Al-Mouz,Nizwa-616, Oman. UoN Chair of Oman's Medicinal Plants and Marine Natural Products, University of Nizwa, Birkat Al-Mouz,Nizwa-616, Oman. Department of Chemistry, University of Sargodha, Pakistan. UoN Chair of Oman's Medicinal Plants and Marine Natural Products, University of Nizwa, Birkat A",2018 Jun;68(2):235-242,10.2478/acph-2018-0012
29873254,20180606,article,NULL,NULL,NULL,NULL,NULL,NULL,Polyphenolic profiling of Ipomoea carnea Jacq. by HPLC-DAD and its implications in oxidative stress and cancer.,"Ipomoea carnea Jacq. is an important folklore medicinal plant, assessed for its underexplored biological potential. Antioxidant, cytotoxic, antiproliferative and polyphenolic profile of whole plant was evaluated using various techniques. Maximum extract recovery (29% w/w), phenolic [13.54 ± 0.27 μg GAE/mg dry weight (DW)] and flavonoid (2.11 ± 0.10 μg QE /mg DW) content were recorded in methanol-distilled water (1:1) flower extract. HPLC-DAD analysis quantified substantial amount of six different polyphenol",Natural product research,"Muhammad Zafar Irshad Khan, Syeda Saniya Zahra, Madiha Ahmed, Humaira Fatima, Bushra Mirza, Ihsan-Ul Haq, Shafi Ullah Khan"," a Faculty of Biological Sciences, Department of Pharmacy , Quaid-i-Azam University , Islamabad , Pakistan. a Faculty of Biological Sciences, Department of Pharmacy , Quaid-i-Azam University , Islamabad , Pakistan. a Faculty of Biological Sciences, Department of Pharmacy , Quaid-i-Azam University , Islamabad , Pakistan. a Faculty of Biological Sciences, Department of Pharmacy , Quaid-i-Azam University , Islamabad , Pakistan. b Faculty of Biological Sciences, Department of Biochemistry , Quaid-i-Azam Univers",2018 Jun;?(?):1-6,10.1080/14786419.2018.1482551
29900385,20180801,article,NULL,NULL,NULL,NULL,NULL,NULL,In vitro studies data on anticancer activity of Caesalpinia sappan L. heartwood and leaf extracts on MCF7 and A549 cell lines.,"This article contains data on in vitro cytotoxicity activity of chloroform, methanolic and water extracts of leaf and heartwood of Caesalpinia sappan L. a medicinal plant against Breast cancer (MCF-7) and Lung cancer (A-549) cells. This data shows that Brazilin A, a natural bioactive compound in heartwood of Caesalpinia sappan L.induced cell death in breast cancer (MCF-7) cells. The therapeutic property was further proved by docking the Brazilin A molecule against BCL-2 protein (an apoptotic inhibitor) usin",Data in brief,"Arunkumar Naik Bukke, Fathima Nazneen Hadi, K Suresh Babu, P Chandramati Shankar"," Department of Biotechnology, Yogi Vemana University, Kadapa, Andhra Pradesh, India. Department of Biotechnology, Yogi Vemana University, Kadapa, Andhra Pradesh, India. Natural Products Laboratory, Division of Natural Products Chemistry, CSIR-Indian Institute of Chemical Technology, Hyderabad 500007, India. Department of Biotechnology, Yogi Vemana University, Kadapa, Andhra Pradesh, India.",2018 Aug;19(?):868-877,10.1016/j.dib.2018.05.050
29936840,20180803,article,NULL,NULL,NULL,NULL,NULL,NULL,"Synthesis of 1,4-Thiazepines.","An efficient, general, and unprecedented methodology for the synthesis of 2-methylene-2,3-dihydro-1,4-thiazepines from N-propargylic β-enaminones is described. Initially, N-propargylic β-enaminones were thionated with Lawesson's reagent in good to high yields, and then the resulting N-propargylic β-enaminothiones were subjected to electrophilic cyclization. When treated with zinc chloride in refluxing chloroform, N-propargylic β-enaminothiones underwent electrophilic cyclization to yield 2-methylene-2,3-dih",The Journal of organic chemistry,"Yilmaz Kelgokmen, Metin Zora"," Department of Chemistry , Middle East Technical University , 06800 Ankara , Turkey. Department of Chemistry , Middle East Technical University , 06800 Ankara , Turkey.",2018 Aug;83(15):8376-8389,10.1021/acs.joc.8b01029
29975999,20180728,article,mesh,"Animals,Antioxidants,Cell Line,Cell Survival,Diospyros,Flavonoids,Fruit,Galactosides,Gallic Acid,Glucosides,Humans,Kaempferols,Monosaccharides,Neuroblastoma,Oxidative Stress,Phenols,Pheochromocytoma,Plant Extracts,Protective Agents,Quercetin,Rats","analogs &amp; derivatives,analysis,chemistry,drug effects,pharmacology","D010936 Q000737 NN,D011794 Q000494 NN,D002470 Q000187 NN,D005638 Q000737 NY,D000975 Q000494 NN,D029788 Q000737 NY,D020011 Q000494 NY,D018384 Q000187 NY,D010936 Q000494 NY,D010636 Q000032 NN,D011794 Q000031 NN,D002460 Q000187 NN,D005419 Q000032 NN","370,5280343,5280804,5280863,5282149,5462193,5484006,5488283,5748594,12011805,25203368,44258737",NULL,Deastringent Peel Extracts of Persimmon (Diospyros kaki Thunb. cv. Cheongdo-Bansi) Protect Neuronal PC-12 and SH-SY5Y Cells against Oxidative Stress.,"The peel of astringent persimmon (Diospyros kaki Thunb. cv. Cheongdo-Bansi) is a by-product of dried persimmon (gotgam). We investigated if deastringent peel extracts of persimmon cv. Cheongdo-Bansi had antioxidative and neuroprotective properties. Two different extracts were prepared: thermally and nonthermally treated persimmon peel extracts (TPE and NTPE, respectively). Both TPE and NTPE were fractionated sequentially in n-hexane, chloroform, ethyl acetate, n-butanol, and water. The TPE and NTPE ethyl ac",Journal of microbiology and biotechnology,"Da-Wool Jeong, Chi Heung Cho, Jong Suk Lee, Seung Hwan Lee, Taewan Kim, Dae-Ok Kim"," Department of Food Science and Biotechnology, Kyung Hee University, Yongin 17104, Republic of Korea. Skin Biotechnology Center, Kyung Hee University, Suwon 16229, Republic of Korea. World Institute of Kimchi, Gwangju 61755, Republic of Korea. Biocenter, Gyeonggido Business and Science Accelerator, Suwon 16229, Republic of Korea. Department of Food Science and Biotechnology, Andong National University, Andong 36729, Republic of Korea. Department of Food Science and Biotechnology, Andong National University,",2018 Jul;28(7):1094-1104,10.4014/jmb.1801.01013
29991912,20180701,article,NULL,NULL,NULL,NULL,NULL,NULL,"Analysis of antioxidative and antiviral biomarkers β-amyrin, β-sitosterol, lupeol, ursolic acid in Guiera senegalensis leaves extract by validated HPTLC methods.","Guiera senegalensis J.F. Gmel is a broad-spectrum African folk- medicinal plant, having activities against fowlpox and herpes viruses. Very recently, we have shown the anti-hepatitis B vius (HBV) potential of G. senegalensis leaves extract (GSLE). Here, we report the antioxidative and hepatoprotective efficacy of GSLE, including HPTLC quantification of four biomarkers of known antioxidative and antiviral activities. In cultured liver cells (HuH7) GSLE attenuated DCFH-induced oxidative stress and cytotoxicit",Saudi pharmaceutical journal : SPJ : the official publication of the Saudi Pharmaceutical Society,"Mohammad K Parvez, Perwez Alam, Ahmed H Arbab, Mohammed S Al-Dosari, Tawfeq A Alhowiriny, Saleh I Alqasoumi"," Department of Pharmacognosy, College of Pharmacy, King Saud University, Riyadh 11451, Saudi Arabia. Department of Pharmacognosy, College of Pharmacy, King Saud University, Riyadh 11451, Saudi Arabia. Department of Pharmacognosy, College of Pharmacy, Omdurman Islamic University, Khartoom 14415, Sudan. Department of Pharmacognosy, College of Pharmacy, King Saud University, Riyadh 11451, Saudi Arabia. Department of Pharmacognosy, College of Pharmacy, King Saud University, Riyadh 11451, Saudi Arabia. Departmen",2018 Jul;26(5):685-693,10.1016/j.jsps.2018.02.022
30039335,20180723,article,NULL,NULL,NULL,NULL,NULL,NULL,Anionic Phospholipids Bind to and Modulate the Activity of Human TRESK Background K(+) Channel.,"The background K(+) channel TRESK regulates sensory neuron excitability, and changes in its function/expression contribute to neuronal hyperexcitability after injury/inflammation, making it an attractive therapeutic target for pain-related disorders. Factors that change lipid bilayer composition/properties (including volatile anesthetics, chloroform, chlorpromazine, shear stress, and cell swelling/shrinkage) modify TRESK current, but despite the importance of anionic phospholipids (e.g., PIP(2)) in the regu",Molecular neurobiology,"Jonathan P Giblin, Iñigo Etayo, Aida Castellanos, Alba Andres-Bilbe, Xavier Gasull"," Neurophysiology Lab, Department of Biomedicine, Medical School, Institute of Neurosciences, Universitat de Barcelona, Casanova 143, 08036, Barcelona, Spain. Institut d'Investigacions Biomèdiques August Pi i Sunyer (IDIBAPS), 08036, Barcelona, Spain. Neurophysiology Lab, Department of Biomedicine, Medical School, Institute of Neurosciences, Universitat de Barcelona, Casanova 143, 08036, Barcelona, Spain. Neurophysiology Lab, Department of Biomedicine, Medical School, Institute of Neurosciences, Universitat ",2018 Jul;?(?):?,10.1007/s12035-018-1244-0
30056439,20180101,article,mesh,"Animals,Antiparkinson Agents,Brain,Cyclin-Dependent Kinases,E2F1 Transcription Factor,Mice, Inbred C57BL,Motor Activity,Oxidative Stress,Parkinsonian Disorders,Purines,Random Allocation,Retinoblastoma Protein,Rotenone","antagonists &amp; inhibitors,diagnostic imaging,drug effects,drug therapy,metabolism,pathology,pharmacology,physiology,physiopathology","D018844 Q000037 NN,D000978 Q000494 NY,D050687 Q000378 NN,D020734 Q000188 NY,D018384 Q000187 NN,D016160 Q000378 NN,D020734 Q000473 NN,D001921 Q000187 NN,D018844 Q000378 NN,D001921 Q000378 NN,D001921 Q000473 NN,D018384 Q000502 NN,D020734 Q000000981 NN,D009043 Q000187 NN,D001921 Q000000981 NN,D011687 Q000494 NY,D020734 Q000503 NN","5097,6758,160355",NULL,Protective effect of roscovitine against rotenone-induced parkinsonism.,"Protective effect of roscovitine and deregulation of the p-RB/E2F1 have not been well studied in PD models generated by repeated oral administration of rotenone. These experiments evaluated the effects of repeated oral gavage of rotenone on the activation of p-RB/E2F1 and the effects of roscovitine on the regulation of dopaminergic neuronal injury and the behavior of PD in mice. Using 2.5% carboxymethylcellulose and 1.25% chloroform as a vehicle solution, rotenone (30 mg/kg) was administered via oral gavage",Restorative neurology and neuroscience,"Yan Chen, Yiwei Hou, Ruli Ge, Jianmei Han, Jing Xu, Jinbo Chen, Hongcai Wang"," Department of Gastroenterology, Affiliated Hospital of Binzhou Medical University, Shandong Province, China. Department of Neurology, Affiliated Hospital of Binzhou Medical University, Shandong Province, China. Department of Neurology, Affiliated Hospital of Binzhou Medical University, Shandong Province, China. Department of Neurology, Yangxin County People's Hospital, Shandong Province, China. Department of Neurology, Affiliated Hospital of Binzhou Medical University, Shandong Province, China. Department ",2018 Jan;36(5):629-638,10.3233/rnn-180817
30064151,20180731,article,NULL,NULL,NULL,NULL,NULL,NULL,"Flavonoid-Rich Fraction of Ocimum gratissimum Attenuates Lipopolysaccharide-Induced Sickness Behavior, Inflammatory and Oxidative Stress in Mice.","PURPOSE: Ocimum gratissimum L. leaves has been traditionally used for management of febrile illnesses and symptoms typified of sickness behavior. In this work we investigated the modulatory effect of flavonoid-rich fraction of O. gratissimum leaves (EAFOg) on sickness behavior, inflammatory and oxidative stress responses in LPS-challenged mice. METHOD: O. gratissimum leaf was first extracted with n-hexane, chloroform and methanol, and EAFOg was obtained by ethylacetate partitioning of a sequentially resulta",Drug research,"Abayomi M Ajayi, Benneth Ben-Azu, Samuel A Onasanwo, Olusegun Adeoluwa, Anthony Eduviere, Olusegun G Ademowo"," Department of Pharmacology & Therapeutics, College of Medicine, University of Ibadan, Ibadan, Nigeria. Department of Pharmacology & Therapeutics, College of Medicine, University of Ibadan, Ibadan, Nigeria. Department of Physiology, College of Medicine, University of Ibadan, Ibadan, Nigeria. Department of Pharmacology & Therapeutics, College of Medicine, University of Ibadan, Ibadan, Nigeria. Department of Pharmacology & Therapeutics, Afe Babalola University Ado-Ekiti, Ado-Ekiti, Nigeria. Department of Phar",2018 Jul;?(?):?,10.1055/a-0654-5042
30090571,20180301,article,NULL,NULL,NULL,NULL,NULL,NULL,Genotoxicity inhibition by Syzygium cumini (L.) seed fraction and rutin: understanding the underlying mechanism of DNA protection.,"Considering the ethnopharmacological importance of Syzygium cumini's seed and the lack of information on the antimutagenic and DNA-protecting mechanisms, a fraction-based study was conducted. Four different (hexane, chloroform, ethyl acetate, and aqueous) fractions were obtained from the sequential extraction of the methanolic extract of the seed. The most active antioxidant fraction (ethyl acetate) contained significant amount of phenolics and flavonoids. LC-qTOF-MS analysis of the ethyl acetate fraction r",Toxicology research,"Mohammad Shavez Khan, Faizan Abul Qais, Iqbal Ahmad, Afzal Hussain, Mohamed F Alajmi"," Department of Agricultural Microbiology , Aligarh Muslim University , Aligarh-202002 , India . Email: ahmadiqbal8@yahoo.co.in ; ; Tel: +91-9897902936. Department of Agricultural Microbiology , Aligarh Muslim University , Aligarh-202002 , India . Email: ahmadiqbal8@yahoo.co.in ; ; Tel: +91-9897902936. Department of Agricultural Microbiology , Aligarh Muslim University , Aligarh-202002 , India . Email: ahmadiqbal8@yahoo.co.in ; ; Tel: +91-9897902936. Department of Pharmacognosy , College of Pharmacy , King S",2018 Mar;7(2):156-171,10.1039/c7tx00269f
